twotheta, yobs, ycal, bkg, diff
1.000000e+001,5.990000e+002,6.043790e+002,6.037940e+002,-5.378986e+000
1.001000e+001,6.190000e+002,6.039652e+002,6.033795e+002,1.503477e+001
1.002000e+001,6.050000e+002,6.035518e+002,6.029654e+002,1.448218e+000
1.003000e+001,5.700000e+002,6.031386e+002,6.025515e+002,-3.313864e+001
1.004000e+001,5.790000e+002,6.027258e+002,6.021379e+002,-2.372579e+001
1.005000e+001,5.900000e+002,6.023133e+002,6.017246e+002,-1.231325e+001
1.006000e+001,6.210000e+002,6.019010e+002,6.013116e+002,1.909898e+001
1.007000e+001,6.090000e+002,6.014891e+002,6.008989e+002,7.510918e+000
1.008000e+001,6.450000e+002,6.010775e+002,6.004865e+002,4.392255e+001
1.009000e+001,5.550000e+002,6.006661e+002,6.000744e+002,-4.566612e+001
1.010000e+001,6.170000e+002,6.002551e+002,5.996627e+002,1.674490e+001
1.011000e+001,6.020000e+002,5.998444e+002,5.992512e+002,2.155628e+000
1.012000e+001,6.080000e+002,5.994340e+002,5.988400e+002,8.566050e+000
1.013000e+001,5.940000e+002,5.990238e+002,5.984291e+002,-5.023831e+000
1.014000e+001,5.940000e+002,5.986140e+002,5.980185e+002,-4.614013e+000
1.015000e+001,6.010000e+002,5.982045e+002,5.976083e+002,2.795503e+000
1.016000e+001,6.410000e+002,5.977953e+002,5.971983e+002,4.320472e+001
1.017000e+001,6.340000e+002,5.973864e+002,5.967886e+002,3.661363e+001
1.018000e+001,5.710000e+002,5.969778e+002,5.963792e+002,-2.597776e+001
1.019000e+001,5.550000e+002,5.965694e+002,5.959702e+002,-4.156945e+001
1.020000e+001,5.520000e+002,5.961614e+002,5.955614e+002,-4.416144e+001
1.021000e+001,5.770000e+002,5.957537e+002,5.951529e+002,-1.875373e+001
1.022000e+001,5.910000e+002,5.953463e+002,5.947447e+002,-4.346319e+000
1.023000e+001,5.310000e+002,5.949392e+002,5.943368e+002,-6.393921e+001
1.024000e+001,6.040000e+002,5.945324e+002,5.939292e+002,9.467597e+000
1.025000e+001,5.580000e+002,5.941259e+002,5.935220e+002,-3.612590e+001
1.026000e+001,5.680000e+002,5.937197e+002,5.931150e+002,-2.571969e+001
1.027000e+001,6.180000e+002,5.933138e+002,5.927083e+002,2.468622e+001
1.028000e+001,6.070000e+002,5.929082e+002,5.923019e+002,1.409183e+001
1.029000e+001,5.360000e+002,5.925029e+002,5.918958e+002,-5.650287e+001
1.030000e+001,5.640000e+002,5.920979e+002,5.914900e+002,-2.809786e+001
1.031000e+001,5.600000e+002,5.916931e+002,5.910845e+002,-3.169315e+001
1.032000e+001,6.040000e+002,5.912887e+002,5.906793e+002,1.271126e+001
1.033000e+001,5.620000e+002,5.908846e+002,5.902744e+002,-2.888463e+001
1.034000e+001,5.450000e+002,5.904808e+002,5.898698e+002,-4.548081e+001
1.035000e+001,6.180000e+002,5.900773e+002,5.894655e+002,2.792270e+001
1.036000e+001,6.120000e+002,5.896741e+002,5.890615e+002,2.232591e+001
1.037000e+001,5.970000e+002,5.892712e+002,5.886578e+002,7.728830e+000
1.038000e+001,6.260000e+002,5.888686e+002,5.882544e+002,3.713145e+001
1.039000e+001,5.730000e+002,5.884662e+002,5.878513e+002,-1.546623e+001
1.040000e+001,5.590000e+002,5.880642e+002,5.874484e+002,-2.906421e+001
1.041000e+001,5.870000e+002,5.876625e+002,5.870459e+002,-6.624860e-001
1.042000e+001,5.840000e+002,5.872611e+002,5.866437e+002,-3.261060e+000
1.043000e+001,5.870000e+002,5.868599e+002,5.862417e+002,1.400694e-001
1.044000e+001,5.590000e+002,5.864591e+002,5.858401e+002,-2.745910e+001
1.045000e+001,5.880000e+002,5.860586e+002,5.854388e+002,1.941435e+000
1.046000e+001,6.130000e+002,5.856583e+002,5.850377e+002,2.734167e+001
1.047000e+001,5.980000e+002,5.852584e+002,5.846370e+002,1.274161e+001
1.048000e+001,5.820000e+002,5.848587e+002,5.842365e+002,-2.858744e+000
1.049000e+001,5.650000e+002,5.844594e+002,5.838363e+002,-1.945940e+001
1.050000e+001,5.890000e+002,5.840603e+002,5.834365e+002,4.939654e+000
1.051000e+001,5.520000e+002,5.836616e+002,5.830369e+002,-3.166159e+001
1.052000e+001,5.630000e+002,5.832631e+002,5.826376e+002,-2.026313e+001
1.053000e+001,5.910000e+002,5.828650e+002,5.822386e+002,8.135027e+000
1.054000e+001,5.910000e+002,5.824671e+002,5.818399e+002,8.532893e+000
1.055000e+001,5.620000e+002,5.820695e+002,5.814415e+002,-2.006954e+001
1.056000e+001,5.630000e+002,5.816723e+002,5.810434e+002,-1.867226e+001
1.057000e+001,5.670000e+002,5.812753e+002,5.806456e+002,-1.427528e+001
1.058000e+001,5.190000e+002,5.808786e+002,5.802481e+002,-6.187860e+001
1.059000e+001,6.250000e+002,5.804822e+002,5.798509e+002,4.451779e+001
1.060000e+001,6.110000e+002,5.800861e+002,5.794540e+002,3.091388e+001
1.061000e+001,5.900000e+002,5.796903e+002,5.790573e+002,1.030968e+001
1.062000e+001,5.960000e+002,5.792948e+002,5.786610e+002,1.670519e+001
1.063000e+001,5.730000e+002,5.788996e+002,5.782650e+002,-5.899604e+000
1.064000e+001,5.660000e+002,5.785047e+002,5.778692e+002,-1.250469e+001
1.065000e+001,5.660000e+002,5.781101e+002,5.774737e+002,-1.211007e+001
1.066000e+001,5.700000e+002,5.777157e+002,5.770786e+002,-7.715742e+000
1.067000e+001,5.570000e+002,5.773217e+002,5.766837e+002,-2.032171e+001
1.068000e+001,5.420000e+002,5.769280e+002,5.762891e+002,-3.492797e+001
1.069000e+001,5.950000e+002,5.765345e+002,5.758948e+002,1.846548e+001
1.070000e+001,5.590000e+002,5.761414e+002,5.755008e+002,-1.714137e+001
1.071000e+001,5.840000e+002,5.757485e+002,5.751071e+002,8.251485e+000
1.072000e+001,5.630000e+002,5.753559e+002,5.747137e+002,-1.235595e+001
1.073000e+001,5.500000e+002,5.749637e+002,5.743206e+002,-2.496368e+001
1.074000e+001,5.550000e+002,5.745717e+002,5.739277e+002,-1.957170e+001
1.075000e+001,5.840000e+002,5.741800e+002,5.735352e+002,9.819988e+000
1.076000e+001,5.920000e+002,5.737886e+002,5.731429e+002,1.821138e+001
1.077000e+001,5.780000e+002,5.733975e+002,5.727510e+002,4.602483e+000
1.078000e+001,6.170000e+002,5.730067e+002,5.723593e+002,4.399329e+001
1.079000e+001,5.520000e+002,5.726162e+002,5.719679e+002,-2.061619e+001
1.080000e+001,5.530000e+002,5.722260e+002,5.715768e+002,-1.922597e+001
1.081000e+001,5.800000e+002,5.718360e+002,5.711860e+002,8.163966e+000
1.082000e+001,5.550000e+002,5.714464e+002,5.707955e+002,-1.644639e+001
1.083000e+001,5.450000e+002,5.710570e+002,5.704053e+002,-2.605704e+001
1.084000e+001,5.800000e+002,5.706680e+002,5.700153e+002,9.332015e+000
1.085000e+001,5.430000e+002,5.702792e+002,5.696257e+002,-2.727922e+001
1.086000e+001,5.470000e+002,5.698907e+002,5.692363e+002,-2.289074e+001
1.087000e+001,5.880000e+002,5.695026e+002,5.688473e+002,1.849744e+001
1.088000e+001,6.060000e+002,5.691147e+002,5.684585e+002,3.688534e+001
1.089000e+001,5.990000e+002,5.687271e+002,5.680700e+002,3.027294e+001
1.090000e+001,5.190000e+002,5.683397e+002,5.676818e+002,-4.933975e+001
1.091000e+001,5.530000e+002,5.679527e+002,5.672939e+002,-1.495273e+001
1.092000e+001,5.340000e+002,5.675660e+002,5.669063e+002,-3.356600e+001
1.093000e+001,5.360000e+002,5.671796e+002,5.665190e+002,-3.117955e+001
1.094000e+001,5.500000e+002,5.667934e+002,5.661319e+002,-1.679340e+001
